Gender,Age,Goal,Height,Weight,Activitylevel,BMI,EDCN,Carbohydrate,Total Fiber ,Protein,Fat,Total Water ,Vitamin A,Vitamin C ,Vitamin D ,Vitamin B6 ,Vitamin E ,Vitamin K ,Vitamin B12 ,Calcium  ,Chloride ,Fluoride,Iron ,Magnesium ,Potassium ,Zinc ,CalciumT,IronT,ZincT
1,20,1,180,80,1.6,24.7,3235,445,45,64,99,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
0,21,1,163,51,1.4,19.2,2124,292,30,41,65,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
1,35,1,174,78,1.4,25.8,2812,386,39,62,85,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,30,1,198,87,1.9,22.2,3911,538,55,70,119,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,16,1,168,52,1.4,18.4,2601,358,36,44,87,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,66,1,179,68,1.4,21.2,2368,325,33,54,72,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,52,1,186,93,1.4,26.9,2952,406,41,74,90,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,49,1,173,62,1.9,20.7,2837,390,40,50,86,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,57,1,180,76,1,23.5,2377,326,33,61,72,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,55,1,163,61,1.6,23,2442,336,34,49,74,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,62,1,172,80,1,27,2328,320,33,64,71,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,19,1,183,84,1.9,25.1,3738,514,52,67,114,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,27,1,187,93,1.9,26.6,3886,534,54,74,118,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,24,1,181,74,1.6,22.6,3102,426,43,59,95,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,18,1,179,72,1.4,22.5,3109,427,44,61,103.5,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
