iter	RMSE
0	659.1913482
1	658.8582702
2	658.5282514
3	658.1283886
4	657.6597672
5	657.2438745
6	656.7917581
7	656.5148532
8	655.9885243
9	655.4918888
10	655.0786457
11	654.6774275
12	654.3958735
13	653.8621106
14	653.4835482
15	653.0835478
16	652.6128153
17	652.2828071
18	652.0168435
19	651.5749092
20	651.2198881
21	650.8012064
22	650.4714914
23	649.8384845
24	649.5555025
25	649.2429332
26	648.9930362
27	648.648598
28	648.4731588
29	648.0477043
30	647.5011033
31	647.0161374
32	646.7452494
33	646.4175063
34	646.143007
35	645.6445345
36	645.229605
37	644.4522025
38	644.1492043
39	643.6578923
40	643.1890745
41	642.6693358
42	642.1825702
43	641.995275
44	641.6337952
45	641.1299279
46	640.8635001
47	640.5551768
48	640.2909581
49	639.9462085
50	639.4381072
51	639.2182382
52	638.9198462
53	638.6439022
54	638.3419951
55	638.0115937
56	637.6163104
57	637.1079119
58	636.8827387
59	636.485563
60	636.1768861
61	635.7463953
62	635.3991263
63	634.9226373
64	634.6894129
65	634.4969646
66	634.2267632
67	633.8994377
68	633.6465849
69	633.307718
70	633.0306775
71	632.669026
72	632.2809891
73	631.8205717
74	631.3619347
75	631.0450107
76	630.824361
77	630.47287
78	630.1795559
79	629.8343267
80	629.5403563
81	629.28342
82	628.8409133
83	628.5472173
84	628.1986714
85	627.8755422
86	627.4773117
87	627.162603
88	626.8959198
89	626.6580969
90	626.4000788
91	626.0920234
92	625.6233874
93	625.2154987
94	624.9248927
95	624.6403606
96	624.0341157
97	623.7218554
98	623.4565143
99	623.214417
100	622.9582268
101	622.4706876
102	622.162451
103	621.6793206
104	621.2310961
105	620.9089553
106	620.6478619
107	620.3050989
108	619.7765207
109	619.6036813
110	619.1429717
111	618.7913797
112	618.538342
113	618.1165445
114	617.8462248
115	617.5426142
116	617.2639515
117	616.9187209
118	616.581816
119	616.5563257
120	616.2129347
121	615.8804708
122	615.5351225
123	615.0559396
124	614.8284871
125	614.5494814
126	614.3465709
127	614.0301197
128	613.7234611
129	613.4811295
130	613.1365737
131	612.7138566
132	612.4599467
133	612.2987516
134	611.9420417
135	611.7955564
136	611.2800274
137	610.8997992
138	610.7668625
139	610.4794293
140	610.1590949
141	609.7082463
142	609.4848591
143	609.1056716
144	608.8993867
145	608.4927957
146	608.1074033
147	607.8678095
148	607.5822442
149	607.3065975
150	607.1411528
151	606.8979535
152	606.5358528
153	606.3063765
154	606.0423847
155	605.764208
156	605.312306
157	604.9420649
158	604.6400057
159	604.2684012
160	604.0436549
161	603.7703692
162	603.4747643
163	603.257665
164	602.9644389
165	602.4675411
166	602.0499169
167	601.8649368
168	601.5866591
169	601.3405562
170	600.8575214
171	600.4660723
172	600.1316099
173	599.8394942
174	599.5206896
175	599.2555053
176	598.9222481
177	598.6388911
178	598.3013732
179	597.9662167
180	597.7900357
181	597.4356389
182	597.0538788
183	596.6744721
184	596.484908
185	596.2777292
186	595.8955733
187	595.4095217
188	594.9690887
189	594.643497
190	594.2253018
191	593.8410395
192	593.4053246
193	593.1032004
194	592.6746962
195	592.4166944
196	592.0431217
197	591.7803048
198	591.5218975
199	591.253581
200	590.8866097
201	590.5744703
202	590.2922147
203	589.9954911
204	589.7009089
205	589.3665624
206	589.0360756
207	588.6286166
208	588.2364631
209	588.0165437
210	587.7852007
211	587.520605
212	587.0976523
213	586.6922552
214	586.3447063
215	585.9622089
216	585.6334186
217	585.1741232
218	584.7009483
219	584.3729163
220	584.014788
221	583.4458978
222	583.1277305
223	582.8482206
224	582.5266413
225	582.2778641
226	581.9724874
227	581.5411821
228	581.2819536
229	580.8221883
230	580.5112598
231	580.0933384
232	579.8084529
233	579.5792759
234	579.2063945
235	578.8428726
236	578.5464981
237	578.1566077
238	577.933302
239	577.5377336
240	577.0800718
241	576.7367352
242	576.4670804
243	576.0260452
244	575.7164531
245	575.2797519
246	574.8553821
247	574.5263722
248	574.2110631
249	573.8086824
250	573.2460624
251	573.0205294
252	572.7353024
253	572.3889951
254	571.9700711
255	571.6974529
256	571.1868055
257	570.8609229
258	570.5209118
259	570.2222504
260	569.8604352
261	569.5930248
262	569.1107048
263	568.7751705
264	568.4024789
265	568.0177664
266	567.7592096
267	567.3901392
268	567.0214153
269	566.7728775
270	566.4801683
271	566.236043
272	565.9744712
273	565.5596104
274	565.3064493
275	565.0553682
276	564.745828
277	564.4099276
278	564.1202146
279	563.7708883
280	563.3449698
281	563.114977
282	562.8463855
283	562.4273501
284	562.0101672
285	561.6398066
286	561.2504189
287	561.0217776
288	560.7946612
289	560.5071913
290	560.1334291
291	559.753451
292	559.5100202
293	559.159388
294	558.7784477
295	558.4919287
296	558.16625
297	557.8287796
298	557.6099169
299	557.2564343
300	556.9158432
301	556.5757091
302	556.2012492
303	555.8607473
304	555.5832884
305	555.2462688
306	554.9781966
307	554.6127899
308	554.1882681
309	553.7829393
310	553.5466552
311	553.0683359
312	552.7078347
313	552.5072013
314	552.1614679
315	551.7758712
316	551.5416325
317	551.1881006
318	550.7888862
319	550.4499753
320	550.0977063
321	549.7445923
322	549.4397768
323	549.0295567
324	548.757493
325	548.5075368
326	548.2954548
327	547.959758
328	547.6116373
329	547.2886328
330	546.9260792
331	546.6486345
332	546.3350213
333	545.9838748
334	545.7416999
335	545.3976427
336	545.0720396
337	544.7717783
338	544.490714
339	544.2615623
340	543.9084494
341	543.6339341
342	543.2414325
343	542.9638972
344	542.6951392
345	542.4336405
346	542.1843174
347	541.8346202
348	541.6125474
349	541.2378771
350	540.9679251
351	540.5899644
352	540.2852117
353	540.0365251
354	539.738127
355	539.4606102
356	539.0242752
357	538.7995469
358	538.4576035
359	538.1557743
360	537.7610941
361	537.506068
362	537.2635156
363	536.9577584
364	536.6909653
365	536.4196595
366	536.1406708
367	535.9074933
368	535.7115505
369	535.3472732
370	535.0500824
371	534.6826718
372	534.4830302
373	534.0872156
374	533.8788962
375	533.6260873
376	533.2961855
377	533.0933437
378	532.8703761
379	532.5662605
380	532.2053097
381	531.8357778
382	531.541415
383	531.3065637
384	531.0438195
385	530.7236391
386	530.4464501
387	530.1848642
388	529.8793249
389	529.6681972
390	529.4337219
391	529.2146891
392	528.959321
393	528.6679623
394	528.3326968
395	528.0041647
396	527.7978298
397	527.481014
398	527.2149604
399	526.9308733
400	526.6853305
401	526.4832466
402	526.1895867
403	525.8496214
404	525.6072782
405	525.3502783
406	525.138912
407	524.8635064
408	524.4923757
409	524.1784998
410	523.9132632
411	523.6465556
412	523.3275603
413	523.0289472
414	522.7482789
415	522.4365926
416	522.1637451
417	521.8205656
418	521.5649243
419	521.3234252
420	521.0892407
421	520.7652862
422	520.4099426
423	520.1133521
424	519.8519906
425	519.5251235
426	519.1168329
427	518.8624088
428	518.5406686
429	518.2474851
430	517.9813789
431	517.6877202
432	517.44973
433	517.2007469
434	516.8505324
435	516.5148881
436	516.2742479
437	515.9789365
438	515.6491748
439	515.3529536
440	515.1533958
441	514.9122766
442	514.7036401
443	514.3604829
444	514.1293612
445	513.8673454
446	513.6026029
447	513.3084743
448	513.0845207
449	512.7724277
450	512.4609665
451	512.2059993
452	511.9188243
453	511.6618552
454	511.3937529
455	511.1362704
456	510.913188
457	510.7527239
458	510.5503754
459	510.1806254
460	509.7324166
461	509.4831279
462	509.2173001
463	508.9884834
464	508.6477849
465	508.2913147
466	508.0326994
467	507.6773713
468	507.3767665
469	507.1596637
470	506.8673927
471	506.5905176
472	506.2369309
473	506.0376007
474	505.8144114
475	505.5336782
476	505.2534062
477	504.9687753
478	504.7890619
479	504.5357744
480	504.3160676
481	503.9417409
482	503.6987119
483	503.4031106
484	503.2218666
485	503.0221664
486	502.7522726
487	502.501453
488	502.3052816
489	502.0741837
490	501.8504829
491	501.5616112
492	501.3507597
493	501.0035892
494	500.7603837
495	500.522842
496	500.1668073
497	499.8396549
498	499.5852796
499	499.3809057
