iter	Passed	Remaining
0	5	2914
1	11	2881
2	16	2713
3	21	2628
4	26	2582
5	30	2535
6	35	2513
7	40	2476
8	45	2456
9	50	2462
10	54	2433
11	59	2434
12	65	2448
13	70	2437
14	74	2424
15	79	2411
16	84	2409
17	89	2398
18	94	2394
19	99	2389
20	104	2380
21	109	2372
22	113	2362
23	118	2354
24	123	2350
25	128	2347
26	133	2339
27	138	2331
28	143	2323
29	147	2316
30	152	2313
31	157	2307
32	162	2306
33	167	2297
34	172	2294
35	177	2289
36	182	2284
37	187	2280
38	193	2281
39	198	2282
40	205	2295
41	210	2299
42	216	2298
43	221	2290
44	225	2284
45	231	2280
46	235	2274
47	240	2266
48	245	2261
49	250	2254
50	255	2248
51	260	2243
52	265	2238
53	270	2232
54	275	2225
55	279	2219
56	284	2214
57	289	2208
58	294	2200
59	299	2195
60	304	2189
61	309	2184
62	313	2176
63	318	2171
64	323	2163
65	328	2157
66	332	2151
67	337	2145
68	342	2139
69	347	2132
70	351	2126
71	356	2119
72	361	2115
73	366	2110
74	371	2105
75	376	2101
76	381	2096
77	387	2094
78	392	2093
79	398	2092
80	403	2085
81	408	2080
82	413	2075
83	417	2068
84	422	2063
85	427	2059
86	432	2053
87	437	2048
88	442	2041
89	447	2036
90	451	2031
91	457	2027
92	461	2021
93	466	2015
94	471	2009
95	476	2004
96	481	1999
97	486	1994
98	491	1990
99	495	1983
100	500	1978
101	505	1973
102	510	1967
103	515	1962
104	520	1958
105	525	1952
106	529	1946
107	534	1939
108	539	1934
109	543	1928
110	549	1924
111	554	1919
112	558	1914
113	563	1909
114	568	1904
115	573	1899
116	578	1893
117	583	1888
118	588	1883
119	590	1870
120	595	1865
121	600	1861
122	605	1856
123	610	1851
124	615	1846
125	620	1841
126	625	1835
127	630	1831
128	634	1825
129	639	1820
130	644	1814
131	649	1809
132	654	1804
133	658	1799
134	663	1795
135	668	1789
136	673	1784
137	678	1779
138	683	1774
139	688	1769
140	693	1765
141	698	1762
142	705	1761
143	711	1758
144	716	1753
145	721	1749
146	726	1745
147	732	1741
148	737	1736
149	741	1731
150	746	1725
151	751	1720
152	756	1715
153	761	1710
154	766	1705
155	771	1700
156	776	1696
157	781	1690
158	786	1687
159	791	1681
160	796	1676
161	801	1671
162	805	1666
163	810	1660
164	815	1656
165	820	1651
166	825	1646
167	830	1640
168	835	1636
169	840	1630
170	845	1626
171	850	1621
172	854	1615
173	859	1610
174	864	1605
175	869	1600
176	874	1595
177	879	1590
178	884	1585
