iter	MultiClass
0	0.9597547501
1	0.8738581674
2	0.8089937114
3	0.7417723991
4	0.6702831849
5	0.6079634376
6	0.5708000692
7	0.5333166109
8	0.5107369868
9	0.4763842268
10	0.4406438088
11	0.413964521
12	0.3831408802
13	0.3590064361
14	0.3400018276
15	0.3210386577
16	0.299605302
17	0.2805039057
18	0.2662591371
19	0.2540890923
20	0.2442680603
21	0.2316995497
22	0.2187375914
23	0.208055833
24	0.1980411003
25	0.1868863899
26	0.1804731428
27	0.1701770469
28	0.1630336531
29	0.1572440354
30	0.1513642424
31	0.1466250324
32	0.1416920795
33	0.1339418747
34	0.1302435227
35	0.1263019679
36	0.1214509889
37	0.1167163818
38	0.1126625863
39	0.1091418272
40	0.1056434754
41	0.102669488
42	0.1001766945
43	0.09652884486
44	0.0936284582
45	0.09144589527
46	0.08769239908
47	0.08638653115
48	0.08389701041
49	0.08233290559
50	0.07943436734
51	0.07639665991
52	0.07419891484
53	0.07177092813
54	0.06945612704
55	0.06731658778
56	0.06507792419
57	0.06369529548
58	0.06295494712
59	0.06134471867
60	0.06023088572
61	0.05883675487
62	0.05727224358
63	0.05516832096
64	0.05328625863
65	0.05197368845
66	0.05058633175
67	0.04938093271
68	0.04781646586
69	0.04643263828
70	0.04560399042
71	0.04449505094
72	0.04311423338
73	0.04179612479
74	0.04057238593
75	0.03967089658
76	0.03882779775
77	0.03819870587
78	0.03754642051
79	0.03682873527
80	0.03583711722
81	0.03504838995
82	0.03414115513
83	0.03349688569
84	0.03294284839
85	0.03236379665
86	0.03175879002
87	0.03104803035
88	0.03031422567
89	0.02956568398
90	0.02892496731
91	0.028428978
92	0.02792628435
93	0.02728640102
94	0.02673142143
95	0.02619790166
96	0.025775657
97	0.025315324
98	0.02484090519
99	0.02438720742
