iter	Passed	Remaining
0	136	13473
1	138	6795
2	143	4628
3	145	3494
4	150	2861
5	154	2420
6	158	2104
7	161	1853
8	164	1664
9	167	1506
10	170	1377
11	173	1273
12	176	1181
13	180	1108
14	183	1038
15	186	977
16	188	922
17	192	875
18	195	832
19	198	792
20	201	758
21	204	724
22	207	694
23	209	662
24	212	636
25	215	612
26	218	591
27	221	569
28	224	549
29	227	530
30	230	511
31	232	494
32	235	478
33	238	462
34	241	448
35	244	434
36	247	421
37	250	408
38	254	397
39	257	385
40	260	374
41	263	363
42	266	352
43	268	342
44	271	332
45	274	322
46	277	313
47	280	304
48	283	295
49	286	286
50	289	278
51	293	270
52	295	262
53	298	254
54	301	247
55	304	239
56	307	232
57	310	224
58	313	217
59	316	210
60	319	204
61	322	197
62	325	190
63	328	184
64	331	178
65	334	172
66	336	165
67	339	159
68	342	153
69	345	148
70	348	142
71	351	136
72	354	131
73	357	125
74	360	120
75	363	114
76	366	109
77	369	104
78	372	98
79	374	93
80	377	88
81	380	83
82	383	78
83	386	73
84	389	68
85	392	63
86	395	59
87	398	54
88	401	49
89	404	44
90	407	40
91	410	35
92	413	31
93	416	26
94	419	22
95	422	17
96	425	13
97	429	8
98	431	4
99	434	0
